Похибка апроксимації |f(x) - φ(x)| для m = 1..4
       x |        m=1 |        m=2 |        m=3 |        m=4
  13.985 |     8.6914 |    10.0082 |     9.4731 |     3.1228
  14.033 |     8.3820 |     9.6947 |     9.1432 |     2.8660
  14.081 |     8.2038 |     9.5122 |     8.9445 |     2.7426
  14.129 |     8.0257 |     9.3296 |     8.7458 |     2.6213
  14.177 |     7.8475 |     9.1469 |     8.5470 |     2.5020
  14.225 |     7.6693 |     8.9640 |     8.3482 |     2.3848
  14.273 |     7.4912 |     8.7810 |     8.1494 |     2.2696
  14.321 |     7.3130 |     8.5979 |     7.9505 |     2.1564
  14.369 |     7.1348 |     8.4146 |     7.7517 |     2.0452
  14.417 |     6.9567 |     8.2312 |     7.5528 |     1.9360
  14.465 |     6.7785 |     8.0477 |     7.3538 |     1.8288
  14.512 |     6.6003 |     7.8640 |     7.1549 |     1.7235
  14.560 |     6.4222 |     7.6803 |     6.9560 |     1.6201
  14.608 |     6.2440 |     7.4963 |     6.7570 |     1.5186
  14.656 |     6.0658 |     7.3123 |     6.5580 |     1.4190
  14.704 |     5.8877 |     7.1281 |     6.3591 |     1.3213
  14.752 |     5.7095 |     6.9438 |     6.1601 |     1.2253
  14.800 |     5.5313 |     6.7593 |     5.9611 |     1.1312
  14.848 |     5.3532 |     6.5747 |     5.7622 |     1.0389
  14.896 |     5.1750 |     6.3900 |     5.5632 |     0.9484
  14.944 |     4.9968 |     6.2052 |     5.3643 |     0.8596
  14.992 |     4.8187 |     6.0202 |     5.1653 |     0.7725
  15.040 |     4.5613 |     5.7559 |     4.8872 |     0.6080
  15.087 |     4.2873 |     5.4748 |     4.5925 |     0.4284
  15.135 |     4.0133 |     5.1936 |     4.2978 |     0.2505
  15.183 |     3.7393 |     4.9123 |     4.0031 |     0.0742
  15.231 |     3.4653 |     4.6308 |     3.7084 |     0.1005
  15.279 |     3.1913 |     4.3492 |     3.4138 |     0.2736
  15.327 |     2.9173 |     4.0675 |     3.1192 |     0.4453
  15.375 |     2.6433 |     3.7856 |     2.8246 |     0.6154
  15.423 |     2.3693 |     3.5036 |     2.5301 |     0.7840
  15.471 |     2.0953 |     3.2215 |     2.2356 |     0.9512
  15.519 |     1.8213 |     2.9392 |     1.9412 |     1.1170
  15.567 |     1.5473 |     2.6568 |     1.6468 |     1.2814
  15.615 |     1.2733 |     2.3743 |     1.3524 |     1.4444
  15.662 |     0.9993 |     2.0916 |     1.0581 |     1.6062
  15.710 |     0.7253 |     1.8088 |     0.7639 |     1.7666
  15.758 |     0.4513 |     1.5259 |     0.4697 |     1.9258
  15.806 |     0.1773 |     1.2428 |     0.1756 |     2.0838
  15.854 |     0.0967 |     0.9596 |     0.1185 |     2.2406
  15.902 |     0.3707 |     0.6763 |     0.4125 |     2.3962
  15.950 |     0.6447 |     0.3928 |     0.7064 |     2.5508
  15.998 |     0.9187 |     0.1092 |     1.0003 |     2.7042
  16.046 |     1.1927 |     0.1745 |     1.2940 |     2.8566
  16.094 |     1.4667 |     0.4583 |     1.5877 |     3.0080
  16.142 |     1.7407 |     0.7423 |     1.8814 |     3.1585
  16.190 |     2.0147 |     1.0264 |     2.1749 |     3.3080
  16.237 |     2.2887 |     1.3107 |     2.4684 |     3.4566
  16.285 |     2.5627 |     1.5951 |     2.7617 |     3.6044
  16.333 |     2.8367 |     1.8796 |     3.0550 |     3.7514
  16.381 |     3.1107 |     2.1642 |     3.3482 |     3.8976
  16.429 |     3.3847 |     2.4490 |     3.6412 |     4.0430
  16.477 |     3.6587 |     2.7339 |     3.9342 |     4.1878
  16.525 |     3.9327 |     3.0190 |     4.2271 |     4.3319
  16.573 |     4.2067 |     3.3042 |     4.5199 |     4.4754
  16.621 |     4.4807 |     3.5895 |     4.8125 |     4.6184
  16.669 |     4.7547 |     3.8749 |     5.1051 |     4.7608
  16.717 |     5.0287 |     4.1605 |     5.3975 |     4.9028
  16.765 |     5.3027 |     4.4462 |     5.6898 |     5.0444
  16.812 |     5.5767 |     4.7320 |     5.9820 |     5.1855
  16.860 |     5.8507 |     5.0180 |     6.2741 |     5.3263
  16.908 |     6.1247 |     5.3041 |     6.5661 |     5.4669
  16.956 |     6.3987 |     5.5904 |     6.8579 |     5.6072
  17.004 |     6.6518 |     5.8559 |     7.1287 |     5.7264
  17.052 |     6.6862 |     5.9028 |     7.1807 |     5.6268
  17.100 |     6.7207 |     5.9499 |     7.2325 |     5.5270
  17.148 |     6.7551 |     5.9970 |     7.2842 |     5.4272
  17.196 |     6.7895 |     6.0444 |     7.3358 |     5.3274
  17.244 |     6.8239 |     6.0918 |     7.3872 |     5.2277
  17.292 |     6.8583 |     6.1394 |     7.4384 |     5.1280
  17.340 |     6.8927 |     6.1871 |     7.4895 |     5.0285
  17.387 |     6.9272 |     6.2349 |     7.5405 |     4.9292
  17.435 |     6.9616 |     6.2829 |     7.5913 |     4.8301
  17.483 |     6.9960 |     6.3310 |     7.6419 |     4.7314
  17.531 |     7.0304 |     6.3793 |     7.6924 |     4.6330
  17.579 |     7.0648 |     6.4276 |     7.7427 |     4.5350
  17.627 |     7.0992 |     6.4761 |     7.7928 |     4.4375
  17.675 |     7.1337 |     6.5248 |     7.8428 |     4.3405
